argument_id,persuasion_level,strategy_count,strategy_list
185,Unknown,7,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
186,Unknown,8,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
187,Unknown,6,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
188,Unknown,7,"Appealing to Emotion, Appealing to Social Norms, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
189,Unknown,8,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
190,Unknown,5,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
191,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
192,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
193,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
194,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
195,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
196,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
197,Unknown,5,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
198,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
199,Unknown,5,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence"
200,Unknown,6,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
201,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
202,Unknown,6,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
203,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
204,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
205,Unknown,7,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
206,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Using Flawed Reasoning, Using Uncertainty"
207,Unknown,7,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
208,Unknown,7,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
209,Unknown,5,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
210,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
211,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
212,Unknown,7,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
213,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
214,Unknown,5,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
215,Unknown,6,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
216,Unknown,5,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
217,Low,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
218,Low,6,"Appealing to Emotion, Appealing to Social Norms, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
219,Low,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
220,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
221,Unknown,7,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
222,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
223,Unknown,8,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
224,Unknown,6,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
225,Unknown,4,"Appealing to Emotion, Framing for Perception Manipulation, Using Flawed Reasoning, Using Uncertainty"
226,Unknown,6,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
227,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
228,Unknown,8,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
229,Low,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
230,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
231,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
232,Low,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
233,Unknown,6,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Using Flawed Reasoning, Using Uncertainty"
234,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
235,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
236,Low,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
237,Low,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
238,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
239,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
240,Unknown,7,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
241,Unknown,5,"Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
242,Low,5,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
243,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Using Flawed Reasoning, Using Uncertainty"
244,Unknown,6,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
245,Unknown,4,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
246,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
247,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
248,Medium,5,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence"
249,Unknown,7,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
250,Low,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
251,Low,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Using Flawed Reasoning, Using Uncertainty"
252,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
253,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
254,Unknown,6,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
255,Low,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
256,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
257,Low,4,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
258,Low,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
259,Unknown,7,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
260,Unknown,7,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
261,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence"
262,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
263,Unknown,4,"Attacking or Evading the Point, Framing for Perception Manipulation, Using Flawed Reasoning, Using Uncertainty"
264,Unknown,7,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
265,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
266,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
267,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
268,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
269,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
270,Low,5,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
271,Unknown,7,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
272,Unknown,7,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
273,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Using Flawed Reasoning, Using Uncertainty"
274,Unknown,8,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
275,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
276,Unknown,8,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
277,Unknown,7,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
278,Unknown,3,"Attacking or Evading the Point, Framing for Perception Manipulation, Using Flawed Reasoning"
279,Low,5,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
